name,ip,status,latency,datetime
Gateway,192.168.200.1,1,1.84,2023-11-04 15:22:20
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:22:25
Gateway,192.168.200.1,1,1.45,2023-11-04 15:22:25
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:22:30
Gateway,192.168.200.1,1,1.65,2023-11-04 15:22:30
LocalHost,127.0.0.1,1,0.12,2023-11-04 15:22:35
Gateway,192.168.200.1,1,1.7,2023-11-04 15:22:35
LocalHost,127.0.0.1,1,0.14,2023-11-04 15:22:40
Gateway,192.168.200.1,1,1.75,2023-11-04 15:22:40
LocalHost,127.0.0.1,1,0.06,2023-11-04 15:22:45
Gateway,192.168.200.1,1,31.44,2023-11-04 15:22:45
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:22:50
Gateway,192.168.200.1,1,1.56,2023-11-04 15:22:50
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:22:56
Gateway,192.168.200.1,1,1.61,2023-11-04 15:22:56
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:23:01
Gateway,192.168.200.1,1,2.6,2023-11-04 15:23:01
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:23:06
Gateway,192.168.200.1,1,49.36,2023-11-04 15:23:06
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:23:11
Gateway,192.168.200.1,1,4.07,2023-11-04 15:23:11
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:23:16
Gateway,192.168.200.1,1,2.22,2023-11-04 15:23:16
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:23:21
Gateway,192.168.200.1,1,6.06,2023-11-04 15:23:21
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:23:26
Gateway,192.168.200.1,1,3.95,2023-11-04 15:23:26
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:23:31
Gateway,192.168.200.1,1,4.25,2023-11-04 15:23:31
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:23:36
Gateway,192.168.200.1,1,3.53,2023-11-04 15:23:36
LocalHost,127.0.0.1,1,0.16,2023-11-04 15:23:41
Gateway,192.168.200.1,1,3.49,2023-11-04 15:23:41
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:23:46
Gateway,192.168.200.1,1,20.21,2023-11-04 15:23:46
LocalHost,127.0.0.1,1,0.06,2023-11-04 15:23:51
Gateway,192.168.200.1,1,1.65,2023-11-04 15:23:51
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:23:56
Gateway,192.168.200.1,1,6.67,2023-11-04 15:23:56
LocalHost,127.0.0.1,1,0.14,2023-11-04 15:24:01
Gateway,192.168.200.1,1,2.96,2023-11-04 15:24:01
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:24:06
Gateway,192.168.200.1,1,1.52,2023-11-04 15:24:06
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:24:11
Gateway,192.168.200.1,1,48.45,2023-11-04 15:24:11
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:24:16
Gateway,192.168.200.1,1,4.59,2023-11-04 15:24:16
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:24:21
Gateway,192.168.200.1,1,4.16,2023-11-04 15:24:21
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:24:26
Gateway,192.168.200.1,1,7.07,2023-11-04 15:24:26
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:24:31
Gateway,192.168.200.1,1,1.61,2023-11-04 15:24:31
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:24:36
Gateway,192.168.200.1,1,22.22,2023-11-04 15:24:36
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:24:41
Gateway,192.168.200.1,1,1.55,2023-11-04 15:24:41
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:24:46
Gateway,192.168.200.1,1,1.92,2023-11-04 15:24:46
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:24:51
Gateway,192.168.200.1,1,8.62,2023-11-04 15:24:51
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:24:57
Gateway,192.168.200.1,1,1.59,2023-11-04 15:24:57
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:25:02
Gateway,192.168.200.1,1,1.74,2023-11-04 15:25:02
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:25:07
Gateway,192.168.200.1,1,2.96,2023-11-04 15:25:07
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:25:12
Gateway,192.168.200.1,1,1.43,2023-11-04 15:25:12
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:25:17
Gateway,192.168.200.1,1,1.51,2023-11-04 15:25:17
LocalHost,127.0.0.1,1,0.05,2023-11-04 15:25:22
Gateway,192.168.200.1,0,0,2023-11-04 15:25:23
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:25:28
Gateway,192.168.200.1,1,2.07,2023-11-04 15:25:28
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:25:33
Gateway,192.168.200.1,1,10.4,2023-11-04 15:25:33
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:25:38
Gateway,192.168.200.1,1,3.77,2023-11-04 15:25:38
LocalHost,127.0.0.1,1,0.04,2023-11-04 15:25:43
Gateway,192.168.200.1,1,4.3,2023-11-04 15:25:43
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:25:48
Gateway,192.168.200.1,1,6.47,2023-11-04 15:25:48
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:25:53
Gateway,192.168.200.1,1,1.46,2023-11-04 15:25:53
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:25:58
Gateway,192.168.200.1,1,8.04,2023-11-04 15:25:58
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:26:03
Gateway,192.168.200.1,1,5.6,2023-11-04 15:26:03
LocalHost,127.0.0.1,1,0.05,2023-11-04 15:26:08
Gateway,192.168.200.1,1,6.15,2023-11-04 15:26:08
LocalHost,127.0.0.1,1,0.03,2023-11-04 15:26:13
Gateway,192.168.200.1,1,2.53,2023-11-04 15:26:13
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:18
Gateway,192.168.200.1,1,1.96,2023-11-04 15:26:18
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:23
Gateway,192.168.200.1,1,6.47,2023-11-04 15:26:23
LocalHost,127.0.0.1,1,0.02,2023-11-04 15:26:28
Gateway,192.168.200.1,1,8.09,2023-11-04 15:26:28
LocalHost,127.0.0.1,1,0.01,2023-11-04 15:26:33
